value,valueLabel,valueDescription,ct,sampleitem,sampleitemLabel
http://www.wikidata.org/entity/Q1509714,porter,professional who carries bags and other items,6,http://www.wikidata.org/entity/Q148028,Zaro Aga
http://www.wikidata.org/entity/Q15220429,Q15220429,individual who systematically provides health care services,6,http://www.wikidata.org/entity/Q16190122,Pulin Bihari Baske
http://www.wikidata.org/entity/Q1530343,Q1530343,profession,6,http://www.wikidata.org/entity/Q434576,Elżbieta Radziszewska
http://www.wikidata.org/entity/Q153936,militia,generally refers to an army or other fighting force that is composed of non-professional fighters,6,http://www.wikidata.org/entity/Q4524806,Q4524806
http://www.wikidata.org/entity/Q1543547,steward,generally refers to an army or other fighting force that is composed of non-professional fighters,6,http://www.wikidata.org/entity/Q1882955,Paulus Eckringa
http://www.wikidata.org/entity/Q157802,Margrave,originally the medieval title for the military commanderof the border provinces of the Holy Roman Empire or of a kingdom,6,http://www.wikidata.org/entity/Q348137,"Leopold I, Margrave of Austria"
http://www.wikidata.org/entity/Q15834659,mechatronics engineer,originally the medieval title for the military commanderof the border provinces of the Holy Roman Empire or of a kingdom,6,http://www.wikidata.org/entity/Q27644805,Eberhard Kallenbach
http://www.wikidata.org/entity/Q15916915,chess official,originally the medieval title for the military commanderof the border provinces of the Holy Roman Empire or of a kingdom,6,http://www.wikidata.org/entity/Q173714,Max Euwe
http://www.wikidata.org/entity/Q15958307,chess theoretician,person involved in chess theory,6,http://www.wikidata.org/entity/Q76558,Siegbert Tarrasch
http://www.wikidata.org/entity/Q15980346,land developer,person involved in chess theory,6,http://www.wikidata.org/entity/Q5217011,Daniel Dulany the Elder
http://www.wikidata.org/entity/Q159964,typography,art and the craft of printing and the arranging of layouts,6,http://www.wikidata.org/entity/Q1114270,Erzsébet Kner
http://www.wikidata.org/entity/Q16009380,Procureur de la République,art and the craft of printing and the arranging of layouts,6,http://www.wikidata.org/entity/Q2266034,Geneviève de Fontenay
http://www.wikidata.org/entity/Q16624872,washerwoman,art and the craft of printing and the arranging of layouts,6,http://www.wikidata.org/entity/Q2414711,Jeanne Rozerot
http://www.wikidata.org/entity/Q16626706,family therapist,art and the craft of printing and the arranging of layouts,6,http://www.wikidata.org/entity/Q129130,John Gray
http://www.wikidata.org/entity/Q16738642,gemologist,art and the craft of printing and the arranging of layouts,6,http://www.wikidata.org/entity/Q997178,Marcel Tolkowsky
http://www.wikidata.org/entity/Q16747019,hypnotherapist,art and the craft of printing and the arranging of layouts,6,http://www.wikidata.org/entity/Q311247,Milton H. Erickson
http://www.wikidata.org/entity/Q168827,prophets of Islam,prophets of Islam,6,http://www.wikidata.org/entity/Q563644,Joseph in Islam
http://www.wikidata.org/entity/Q1714329,justiciar,prophets of Islam,6,http://www.wikidata.org/entity/Q11710251,Hugh Bigod
http://www.wikidata.org/entity/Q17156829,music supervisor,person who combines music and visual media,6,http://www.wikidata.org/entity/Q910486,Bret McKenzie
http://www.wikidata.org/entity/Q17301774,Q17301774,person who combines music and visual media,6,http://www.wikidata.org/entity/Q19290666,Felip de Cervelló
http://www.wikidata.org/entity/Q17433551,mariner,member of a Marine Corps,6,http://www.wikidata.org/entity/Q127707,Robert Eugene Bush
http://www.wikidata.org/entity/Q1751254,Q1751254,member of a Marine Corps,6,http://www.wikidata.org/entity/Q1278937,Eberhard Dennert
http://www.wikidata.org/entity/Q1758713,primary producer,organism in an ecosystem that produces biomass from inorganic compounds,6,http://www.wikidata.org/entity/Q26788150,Drew C. Ryan
http://www.wikidata.org/entity/Q1766113,lighthouse keeper,organism in an ecosystem that produces biomass from inorganic compounds,6,http://www.wikidata.org/entity/Q461882,Grace Darling
http://www.wikidata.org/entity/Q1790941,sheep farming,raising and breeding of domestic sheep,6,http://www.wikidata.org/entity/Q4951298,Bowman Brothers
http://www.wikidata.org/entity/Q179637,prisoner of war,person who is held in custody by a belligerent power during or immediately after an armed conflict,6,http://www.wikidata.org/entity/Q1730609,Karl Bär
http://www.wikidata.org/entity/Q179687,cross-country skiing,winter sport,6,http://www.wikidata.org/entity/Q530901,Ange Laycock
http://www.wikidata.org/entity/Q185902,viscount,nobility title,6,http://www.wikidata.org/entity/Q1877403,Constance of Béarn
http://www.wikidata.org/entity/Q186286,vaudeville,theatrical genre of variety entertainment.,6,http://www.wikidata.org/entity/Q19668651,Gladys Gale
http://www.wikidata.org/entity/Q188993,anarcho-syndicalism,branch of anarchism,6,http://www.wikidata.org/entity/Q598307,Golos Truda
http://www.wikidata.org/entity/Q19826506,hip hop producer,instrumentalist in the hip hop genre,6,http://www.wikidata.org/entity/Q1299560,Rizbo
http://www.wikidata.org/entity/Q19914236,vegetable grower,instrumentalist in the hip hop genre,6,http://www.wikidata.org/entity/Q3172808,Jean Jestin
http://www.wikidata.org/entity/Q1999862,sopranist,man who sings in soprano register without falsetto,6,http://www.wikidata.org/entity/Q12798809,Pija Brodnik
http://www.wikidata.org/entity/Q2009667,Q2009667,man who sings in soprano register without falsetto,6,http://www.wikidata.org/entity/Q9139927,Adam Loret
http://www.wikidata.org/entity/Q20103227,Q20103227,man who sings in soprano register without falsetto,6,http://www.wikidata.org/entity/Q11946345,Rotget
http://www.wikidata.org/entity/Q2073907,travel guide,profession in the tourist industry,6,http://www.wikidata.org/entity/Q1035900,Caren Miosga
http://www.wikidata.org/entity/Q21057452,beach soccer player,profession in the tourist industry,6,http://www.wikidata.org/entity/Q18589930,Moritz Jaeggy
http://www.wikidata.org/entity/Q21088197,Q21088197,profession in the tourist industry,6,http://www.wikidata.org/entity/Q446103,Huguette Dreyfus
http://www.wikidata.org/entity/Q213156,performance art,artistic performance presented to an audience,6,http://www.wikidata.org/entity/Q455913,Ursula Martinez
http://www.wikidata.org/entity/Q213796,powerlifting,strength sport,6,http://www.wikidata.org/entity/Q3367481,Pascal Landré
http://www.wikidata.org/entity/Q21532851,Q21532851,strength sport,6,http://www.wikidata.org/entity/Q13050819,Q13050819
http://www.wikidata.org/entity/Q215909,augur,"priest and official in the classical world, especially ancient Rome and Etruria",6,http://www.wikidata.org/entity/Q1048,Julius Caesar
http://www.wikidata.org/entity/Q21684462,Q21684462,"priest and official in the classical world, especially ancient Rome and Etruria",6,http://www.wikidata.org/entity/Q3013972,Daniel Dugléry
http://www.wikidata.org/entity/Q217102,conservation,care of tangible cultural heritage,6,http://www.wikidata.org/entity/Q5578497,Johan Zacharias Blackstadius
http://www.wikidata.org/entity/Q2191756,seer,care of tangible cultural heritage,6,http://www.wikidata.org/entity/Q267711,Veleda
http://www.wikidata.org/entity/Q21941967,social pedagogue,care of tangible cultural heritage,6,http://www.wikidata.org/entity/Q714147,Patrick van Rensburg
http://www.wikidata.org/entity/Q23055218,travel guide writer,care of tangible cultural heritage,6,http://www.wikidata.org/entity/Q2865105,Arthur Frommer
http://www.wikidata.org/entity/Q23081349,Q23081349,care of tangible cultural heritage,6,http://www.wikidata.org/entity/Q3124221,Gérard Parizeau
http://www.wikidata.org/entity/Q23672693,animal protectionist,someone active in animal protectionism,6,http://www.wikidata.org/entity/Q11628817,Mary Nishimori
http://www.wikidata.org/entity/Q236979,shipbroker,"intermediary between shipowners and charterers who use ships to transport cargo, or between buyers and sellers of vessels",6,http://www.wikidata.org/entity/Q2225399,Willem Ruys
http://www.wikidata.org/entity/Q2403813,schepen,"a municipal office in the Netherlands and Belgium (where it is also known as chevin). The equivalent office in Luxembourg is also known as an chevin and similar offices include the Italian scabino, the German Schffe, and the Czech epmistr.",6,http://www.wikidata.org/entity/Q1981655,Q1981655
http://www.wikidata.org/entity/Q24114117,gambler,profession,6,http://www.wikidata.org/entity/Q44200,Billy the Kid
http://www.wikidata.org/entity/Q24574678,cornetist,musician playing the cornet,6,http://www.wikidata.org/entity/Q4463404,Walter B. Rogers
http://www.wikidata.org/entity/Q2462215,Nazi hunter,"private individual who tracks down and gathers information on alleged former Nazis, SS members, and Nazi collaborators who were involved in the Holocaust",6,http://www.wikidata.org/entity/Q49086,Simon Wiesenthal
http://www.wikidata.org/entity/Q2467532,exorcist,person who is believed to be able to cast out the devil or other demons,6,http://www.wikidata.org/entity/Q720749,Gabriele Amorth
http://www.wikidata.org/entity/Q2493398,Khananda,person who is believed to be able to cast out the devil or other demons,6,http://www.wikidata.org/entity/Q2427251,Khan Shushinski
http://www.wikidata.org/entity/Q24960425,Q24960425,person who is believed to be able to cast out the devil or other demons,6,http://www.wikidata.org/entity/Q2895223,Belén Esteban Menéndez
http://www.wikidata.org/entity/Q25123845,micropalaeontologist,occupation,6,http://www.wikidata.org/entity/Q12264009,Máximo Ruiz Gaona
http://www.wikidata.org/entity/Q2518691,defence minister,minister in charge of defence affairs of a state,6,http://www.wikidata.org/entity/Q267902,James Mattis
