value,valueLabel,valueDescription,ct,valueAltLabel,sampleitem,sampleitemLabel
http://www.wikidata.org/entity/Q748316,Temne people,West African ethnic group,1,"Temen, Time people, Timmanee, Timni",http://www.wikidata.org/entity/Q443070,Foday Sankoh
http://www.wikidata.org/entity/Q749854,Gamo people,,1,,http://www.wikidata.org/entity/Q115,Ethiopia
http://www.wikidata.org/entity/Q7508597,Sidhu,,1,,http://www.wikidata.org/entity/Q6122529,Jagga Jatt
http://www.wikidata.org/entity/Q7511479,Sierra Leoneans in the United Kingdom,,1,,http://www.wikidata.org/entity/Q10524,Ryan Giggs
http://www.wikidata.org/entity/Q7522198,Sindhi Rajput,,1,,http://www.wikidata.org/entity/Q4373375,Rana Bhagwandas
http://www.wikidata.org/entity/Q7523309,Singaporean nationality law,,1,,http://www.wikidata.org/entity/Q7489413,Sharanjit Leyl
http://www.wikidata.org/entity/Q7530475,Sarki,Khas occupational Dalit caste,1,"Mijar, Sarki",http://www.wikidata.org/entity/Q837,Nepal
http://www.wikidata.org/entity/Q7541698,Slovene Argentines,Slovene immigrants to Argentina,1,,http://www.wikidata.org/entity/Q18627670,Marijan Schiffrer
http://www.wikidata.org/entity/Q7558831,Solon people,,1,Suolun,http://www.wikidata.org/entity/Q11151273,Hailanqa
http://www.wikidata.org/entity/Q7586018,Sri Lankan American,,1,,http://www.wikidata.org/entity/Q2068029,Raj Rajaratnam
http://www.wikidata.org/entity/Q7641172,Cham Albanians,sub-group of Albanians,1,,http://www.wikidata.org/entity/Q4724756,Ali Dino
http://www.wikidata.org/entity/Q7654589,Swedish Argentine,,1,,http://www.wikidata.org/entity/Q2993062,Dagmar Hagelin
http://www.wikidata.org/entity/Q7663489,Syro-Lebanese in Egypt,,1,Levantines of Egypt,http://www.wikidata.org/entity/Q312611,Youssef Chahine
http://www.wikidata.org/entity/Q7681244,Tamil Brahmin,,1,,http://www.wikidata.org/entity/Q45747,Viswanathan Anand
http://www.wikidata.org/entity/Q7709099,Thai Australian,,1,,http://www.wikidata.org/entity/Q6765206,Marion Grasby
http://www.wikidata.org/entity/Q7764833,The Sligo Champion,,1,,http://www.wikidata.org/entity/Q6179393,Jenny McCudden
http://www.wikidata.org/entity/Q779191,Overseas Chinese,ethnic group,1,,http://www.wikidata.org/entity/Q7207745,Poh Ling Yeow
http://www.wikidata.org/entity/Q7826175,Toro sub-region,,1,,http://www.wikidata.org/entity/Q4810985,Aston Kajara
http://www.wikidata.org/entity/Q7842496,Trinidadian and Tobagonian American,,1,,http://www.wikidata.org/entity/Q7902995,Utrice Leid
http://www.wikidata.org/entity/Q7853490,Vietnamese people in France,,1,,http://www.wikidata.org/entity/Q10829477,Jean Tran Thanh Van
http://www.wikidata.org/entity/Q7856433,Turtle Mountain Band of Chippewa Indians,,1,,http://www.wikidata.org/entity/Q6762926,Marie Louise Bottineau Baldwin
http://www.wikidata.org/entity/Q7878637,Ukwuani people,,1,,http://www.wikidata.org/entity/Q7822289,Tony Elumelu
